codigo,disciplina,professor,di,ano,bimestre,semana,numeroAula,titulo,sinopse,linkYoutubeOriginal,slidesDisponivel,status,idTvCultura,duracaoMinutos,linkLibras,linkAudiodescricao,ccLegenda,linkDownload
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Apresentação Geral da Disciplina,,https://youtu.be/K-xCG1hxg30,ok,finalizado,2390P017809,,https://youtu.be/vFZyiZXM4ZA,https://youtu.be/N3ZK0WTXf2E,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,O Que é um Plano de Negócios?,"Nesta videoaula, o professor Eduardo Ferro explicará sobre a importância do plano de negócios, sua estrutura básica e seu papel estratégico no desenvolvimento de uma empresa.",https://youtu.be/JX5w7KjeAVQ,ok,finalizado,2390P017810,,https://youtu.be/0e54GbJT2Ik,https://youtu.be/4XG5THX_1gA,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Explorando o Modelo Canvas: Uma Introdução,"Nesta videoaula, o professor Eduardo Ferro fará a apresentação do Modelo Canvas, explorando cada um dos seus nove blocos.",https://youtu.be/NjdV_XRsYFQ,ok,finalizado,2390P017811,,https://youtu.be/JkDvPW5R5kQ,https://youtu.be/Gm4-s_q6QPU,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Estudo de Caso de um Plano de Negócio,"Nesta videoaula, o professor Eduardo Ferro fará a apresentação real de uso do Modelo Canvas.",https://youtu.be/J9iS_FAxshY,ok,finalizado,2390P017812,,https://youtu.be/jIkkWl_cYw4,https://youtu.be/maEXIXOBe18,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Pensamento Crítico na Elaboração do Plano de Negócios,"Nesta videoaula, o professor Eduardo Ferro explicará sobre como desenvolver o pensamento crítico para análise e desenvolvimento de planos de negócios.",https://youtu.be/YV_oU0WEsMg,ok,finalizado,2390P017813,,https://youtu.be/sIsa0gdgMQM,https://youtu.be/LPYenT2NFWg,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Definição de Nicho de Negócio,"Nesta videoaula, o professor Eduardo Ferro mostrará como identificar e delimitar nichos de mercado que possam gerar valor para a empresa.",https://youtu.be/zuXoJL3iDgY ,ok,finalizado,2390P017814,,https://youtu.be/l_cI0KgirWY,https://youtu.be/hdiEHwo7ONA,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,"Definindo Missão, Visão e Valores de uma Empresa","Nesta videoaula, o professor Eduardo Ferro explicará sobre a definição da missão, visão, valores e objetivos estratégicos da empresa.",https://youtu.be/JeZrlRqZi_c,ok,finalizado,2390P017815,,https://youtu.be/pr9MTCvfWgQ,https://youtu.be/bUEKcTuckuw,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Análise SWOT: Avaliando o Ambiente Interno e Externo,"Nesta videoaula, o professor Eduardo Ferro mostrará como usar a matriz Swot para realizar análises estratégicas.",https://youtu.be/NJHPf0uJFVc,ok,finalizado,2390P017816,,https://youtu.be/yk-FsVrLXkg,https://youtu.be/y8hHsVLUy_E,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Estudo de Caso de um SWOT,"Nesta videoaula, o professor Eduardo Ferro mostrará na prática como aplicar a matriz Swot no planejamento estratégico.",https://youtu.be/G81iRI9kfr0,ok,finalizado,2390P017817,,https://youtu.be/F8agumyEYMM,https://youtu.be/Ec2UaO0AoqE,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Pesquisa de Mercado: Ferramentas e Técnicas,"Nesta videoaula, o professor Eduardo Ferro explicará o porquê de se usar métodos para coletar, analisar e interpretar dados de mercado.",https://youtu.be/BhNCGiNnPcI,ok,finalizado,2390P017818,,https://youtu.be/oxKcQLyjal8,https://youtu.be/hqub-pQTM30,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Estruturando as Operações da Empresa,"Nesta videoaula, o professor Eduardo Ferro mostrará a identificação de processos, recursos e tecnologias essenciais para uma operação eficiente, com foco em eficiência e qualidade.",https://youtu.be/5OnNh7Xu8I4,ok,finalizado,2390P017819,,https://youtu.be/uNjJlt6fcsU,https://youtu.be/_ztFWKHd5zE,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Fundamentos da Gestão de Projetos,"Nesta videoaula, o professor Eduardo Ferro introduzirá o ciclo de vida de um projeto, ferramentas de planejamento e indicadores de sucesso para planejar e monitorar projetos com eficiência.",https://youtu.be/HelDIkIU7Rw,ok,finalizado,2390P017820,,https://youtu.be/SjSadtilUew,https://youtu.be/JgfnjBUntQk,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,SIPOC - Definindo o fluxo de negócio,"Nesta videoaula, o professor Eduardo Ferro apresentará a ferramenta SIPOC e seus usos no mapeamento de processos para identificar gargalos organizacionais.",https://youtu.be/68hHQxFkV8A,ok,finalizado,2390P017821,,https://youtu.be/RV_v_TZJaos,https://youtu.be/qAxZd8px-us,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Estratégias de Precificação: Determinando o Valor do Produto,"Nesta videoaula, o professor Eduardo Ferro apresentará métodos de precificação com base em custos, concorrência e valor percebido para determinar preços estratégicos para maximizar competitividade e lucro.",https://youtu.be/jKnb3r8QF_c,ok,finalizado,2390P017822,,https://youtu.be/ZfInHuXc62c,https://youtu.be/r2XGhM1I9PQ,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Estrutura de Custos: Identificação e Controle,"Nesta videoaula, o professor Eduardo Ferro explicará a identificação de custos fixos e variáveis, e estratégias para controlá-los para mapear custos e aplicar metodologias de controle eficazes.",https://youtu.be/L5QSJ1IzTtI,ok,finalizado,2390P017823,,https://youtu.be/qrjgnSx3kHo,https://youtu.be/YG477OQgOkw,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Planejamento Financeiro: Projeção de Receitas e Despesas,"Nesta videoaula, o professor Eduardo Ferro apresentará projeções de receitas e despesas e como elas orientam as decisões empresariais.",https://youtu.be/kT2E2SYdFAA,ok,finalizado,2390P017824,,https://youtu.be/IY_u_t2NmdY,https://youtu.be/FNJkz2KcBMQ,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Orçamentos e Fluxo de Caixa,"Nesta videoaula, o professor Eduardo Ferro apresentará técnicas de elaboração e monitoramento de orçamentos e fluxo de caixa.",https://youtu.be/nKBYtRuM3xo,ok,finalizado,2390P017825,,https://youtu.be/lLbPCDl_KiI,https://youtu.be/OcrU5fpnLNs,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Desenvolvimento de Estratégias Competitivas,"Nesta videoaula, o professor Eduardo Ferro mostrará a abordagem prática dos tipos de estratégias competitivas (liderança em custos, diferenciação e foco) e sua aplicação no mercado.",https://youtu.be/v9p5-K-snyY,ok,finalizado,2390P017826,,https://youtu.be/ywUNVrbofBU,https://youtu.be/lKSzem8kuyI,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Análise e Gestão de Riscos,"Nesta videoaula, o professor Eduardo Ferro apresentará métodos para identificar, avaliar e mitigar riscos no ambiente empresarial.",https://youtu.be/zBvVpEbmR3s,ok,finalizado,2390P017827,,https://youtu.be/qZQ0tCPUAiE,https://youtu.be/AGaXt-YEFOA,OK/OK,ok
ADM410,Planejamento e ferramentas de gestão estratégica ,Eduardo Ferro dos Santos,,2025,1,0,0,Estudo de Cenários e Tomada de Decisão,"Nesta videoaula, o professor Eduardo Ferro apresentará os fundamentos da análise de cenários, também como ela pode auxiliar a prever possíveis desdobramentos e orientar a tomada de decisões em ambientes de incerteza.",https://youtu.be/p0qED_fA7kg,ok,finalizado,2390P017828,,https://youtu.be/J1RtP2EWNFM,https://youtu.be/xwGhbhnzumE,OK/OK,ok
